duel_id,map_name,tick,attacker_steamid,attacker_name,attacker_team,victim_steamid,victim_name,victim_team,weapon,headshot,penetrated,attacker_x,attacker_y,attacker_z,victim_x,victim_y,victim_z,distance_3d,attacker_view_error_deg,victim_view_error_deg,attacker_hp_at_kill,victim_hp_at_kill,victim_died,attacker_in_smoke,victim_in_smoke,smoke_between_players,active_smoke_count
76561198160709585_vs_76561198253670517_at_53704,de_ancient,53704,76561198160709585,sjuush,CT,76561198253670517,BELCHONOKK,TERRORIST,m4a1_silencer,True,0,-1624.8873291015625,1180.650634765625,52.03125,-2132.74365234375,636.4004516601562,52.652687072753906,744.3968652885669,2.4871343631670078,1.8186456796866324,100,0,True,False,False,False,0
76561198127236290_vs_76561198160709585_at_53740,de_ancient,53740,76561198127236290,Qikert,TERRORIST,76561198160709585,sjuush,CT,ak47,True,0,-2111.82958984375,606.9625244140625,52.2100944519043,-1633.0843505859375,1178.0396728515625,52.03125,745.202083709422,0.9149750891916079,5.8796968666903995,52,0,True,False,False,False,0
76561198053126645_vs_76561198845426189_at_53793,de_ancient,53793,76561198053126645,NertZ,CT,76561198845426189, alpha,TERRORIST,m4a1,True,0,-1328.9398193359375,421.60919189453125,93.03125,-1650.8408203125,679.961181640625,56.27714157104492,414.387342376533,1.341991319427587,3.048316592931954,39,0,True,False,False,False,0
76561198156778414_vs_76561198057282432_at_54009,de_ancient,54009,76561198156778414,ArtFr0st,TERRORIST,76561198057282432,kyxsan,CT,awp,False,0,-2143.16796875,481.5293273925781,75.03125,-746.6239624023438,1158.3909912109375,72.4622802734375,1551.9289523744237,0.6485406879389853,0.9430716641120632,100,0,True,False,False,False,0
76561198288540801_vs_76561197996678278_at_57036,de_ancient,57036,76561198288540801,Patsi,TERRORIST,76561197996678278,TeSeS,CT,ak47,False,0,-1736.0845947265625,509.5620422363281,168.03125,-1126.5347900390625,985.76220703125,64.21875,780.4451271559905,1.3503222160093038,15.456669868538203,95,0,True,False,False,False,0
76561198799340122_vs_76561198156778414_at_57378,de_ancient,57378,76561198799340122, degster,CT,76561198156778414,ArtFr0st,TERRORIST,awp,False,0,-1277.31005859375,27.838077545166016,104.33320617675781,-1465.0377197265625,612.1029052734375,73.03125,614.4809811013149,1.5959671945051,3.9392416929258274,100,0,True,False,False,False,0
76561198053126645_vs_76561198288540801_at_57398,de_ancient,57398,76561198053126645,NertZ,CT,76561198288540801,Patsi,TERRORIST,m4a1,True,0,-1452.81103515625,242.04733276367188,138.03125,-1339.1141357421875,578.6367797851562,73.03125,361.17093014610145,2.432705530490156,7.15753792643384,39,0,True,False,False,False,0
76561198127236290_vs_76561198053126645_at_58468,de_ancient,58468,76561198127236290,Qikert,TERRORIST,76561198053126645,NertZ,CT,awp,False,0,-1914.6728515625,943.64013671875,52.031246185302734,-1336.49853515625,418.1274719238281,93.03125762939453,782.3874372394473,1.589621626012477,1.1189738634050919,38,0,True,False,False,False,0
76561197996678278_vs_76561198127236290_at_64283,de_ancient,64283,76561197996678278,TeSeS,CT,76561198127236290,Qikert,TERRORIST,mp9,True,0,26.123193740844727,-562.6683959960938,182.03125,107.12688446044922,-568.674072265625,172.03125,81.83926965492635,4.415496248219377,10.171419463322454,97,0,True,False,False,False,3
76561197996678278_vs_76561198845426189_at_65055,de_ancient,65055,76561197996678278,TeSeS,CT,76561198845426189, alpha,TERRORIST,mp9,False,0,141.5814208984375,-821.071533203125,153.03125,381.21661376953125,-884.3997192382812,142.18174743652344,248.09916669498216,11.411149428392221,2.795321334584575,97,0,True,False,False,False,2
